id,source,created_at,rating,text,sentiment_label,sentiment_score,severity,topic_cluster,topic_name
1, trust_pilot, 2025-11-23,5," ""I have no complaints with Embrace other… I have no complaints with Embrace other than their APP never seams to work when I need it. Other wise excellent ! Submit claim and in 2 to 3 days your reimbursement is in the bank. Love it! If only personal health insurance was that Easy!!!""",POSITIVE,0.9996589422225952,Praise,4,Supportive guidance and strong coverage
3, trust_pilot, 2025-11-22,5," ""Embrace Answers The rep I spoke to was very understanding and said to submit my claim for my lost pet again and shell see if they will honor it. Anytime I had questions they were there to help me . Its great knowing the company is truly animal friendly !""",POSITIVE,0.9994462132453918,Praise,4,Supportive guidance and strong coverage
4, trust_pilot, 2025-11-21,5," ""Very pleased with Embrace Pet Insurance. I have the normal insurance plus the Wellness addition. I have had a few claims with the Wellness part and have found it very easy to file the claim and received a response within a couple of days. Very pleased with the quick response. I have had the opportunity to speak with customer support and was pleased with the friendly and supportive assistance.""",POSITIVE,0.9997603297233582,Praise,4,Supportive guidance and strong coverage
5, trust_pilot, 2025-11-21,1," ""Do not use them Do not use them. After years a decade and a half of using them the abruptly changed my monthly premium for two dogs to 1200$ from 400$ which had been steadily increasing. The maximum pay out is $10000 because I set this up in 2010. Its a disgrace that they treat senior dogs like this. Clearly this is a business and they dont care about your pets. I recommend looking elsewhere or invest the same money into a money market or low risk investment account. I will never use them again.""",NEGATIVE,0.9996786117553711,Severe,5,Senior pet premiums skyrocketing
6, trust_pilot, 2025-11-21,5," ""The claims process was very simple.""",POSITIVE,0.9233572483062744,Praise,3,Fast and simple claims process
7, trust_pilot, 2025-11-21,1," ""Ripped me off Ripped me off. I only had my policy a couple days and then they abruptly canceled it and kept my money. I tried to get in touch with them and they are not answering.""",NEGATIVE,0.9993438124656677,Severe,1,Mixed service and policy frustrations
8, trust_pilot, 2025-11-20,5," ""Handled our claim with thoughtfulness as well as efficiency. We recently had to say goodbye to our faithful dog Nelson after several visits to the vet. Embrace handled our claim almost immediately. They sent a thoughtful message with condolences and were very help during this difficult time. They also took the time to remove Nelson from our account so I did not have to worry about getting that done and applied a credit for the remaining days of his coverage to our account for our other dogs.""",POSITIVE,0.9988364577293396,Praise,4,Supportive guidance and strong coverage
9, trust_pilot, 2025-11-20,5," ""Quick Response Embrace has a very quick response time. My claim was viewed within 24 hours. The app on my phone made it very convenient and easy to complete. The information they give is easily understood.""",POSITIVE,0.9961860775947571,Praise,1,Mixed service and policy frustrations
10, trust_pilot, 2025-11-20,1," ""Avoid this company they will drop your senior dog when you need them most. I was an Embrace customer for over 13 years and used to recommend them to everyone. Sadly I cant say that anymore. This year they raised the premium on my 15-year-old chihuahua from about $2000 to over $10000 annually even with the multi-pet discount. The plan only pays out a maximum of $10000 per year so the new price makes the coverage essentially worthless. Theyre pushing us off the policy without technically cancelling us. My dog has been insured with Embrace since he was 3 and had more than a decade of healthy years with almost no issues. Now that hes developed two conditions that count as pre-existing no other insurer will cover him in any meaningful way. After more than a decade of loyalty were left uninsured when he needs help the most. When I called Embrace for an explanation all I got was a canned response about state-approved rates and rising veterinary costs. Yes vet care has gone up but nothing justifies a fivefold increase in one year. Because of this experience Ill also be removing my younger dog from Embrace. A company that treats long-term customers this way does not deserve our trust.""",NEGATIVE,0.9990918636322021,Severe,5,Senior pet premiums skyrocketing
11, trust_pilot, 2025-11-20,5," ""Embrace is a top notch pet insurance company Embrace provides a very easy claims process with reimbursement sometimes happening on the same day. It also provides great coverage for the money. The support staff is empathetic and very helpful even offering suggestions to lower premium costs without jeopardizing coverage. We have two dogs who have been covered by Embrace for many years and some serious medical issues.""",POSITIVE,0.9996243715286255,Praise,4,Supportive guidance and strong coverage
